water_body_name,water_body_longitude,water_body_latitude,country_code,province_code,closest_city,distance
Ocean Pacific CAN BC,-130.571,54.215,CAN,BC,Prince Rupert,10
Ocean Pacific CAN BC,-123.321,48.339,CAN,BC,Victoria Vancouver Island,10
Ocean Pacific CAN BC,-123.886,49.253,CAN,BC,Nanaimo Vancouver Island,10
Ocean Pacific CAN BC,-127.444,50.76,CAN,BC,Port Hardy Vancouver Island,10
Ocean Pacific CAN BC,-128.633,52.026,CAN,BC,Bella Coola,10
Ocean Pacific CAN BC,-132.104,54.096,CAN,BC,Haida Gwaii,10
Ocean Atlantic CAN NL,-52.422,47.575,CAN,NL,St Johns,10
Ocean Atlantic CAN NL,-58.774,49.192,CAN,NL,Corner Brook,10
Ocean Atlantic CAN NS,-63.347,44.494,CAN,NS,Halifax,10
Ocean Atlantic CAN PEI,-63.236,46.018,CAN,PE,Charlottown,10
Ocean Atlantic CAN QB,-70.441,47.275,CAN,QC,Quebec City,10
Ocean Arctic CAN YT,-138.115,69.284,CAN,YT,Whitefish station,10
Ocean Gulf of Mexico MEX,-96.173,20.097,MEX,DF,Mexico City,10
Ocean Gulf of Mexico MEX,-99.985,16.723,MEX,GR,Acapulco,10
Ocean Gulf of Mexico MEX,-86.489,21.206,MEX,QR,Cancun,10
Ocean Pacific USA AK,-150.768,61.043,USA,AK,Anchorage,10
Ocean Gulf of Mexico USA AL,-87.992,30.314,USA,AL,Mobile,10
Ocean Pacific USA CA,-122.751,37.665,USA,CA,San Francisco,10
Ocean Pacific USA CA,-118.592,33.809,USA,CA,Los Angeles,10
Ocean Pacific USA CA,-117.261,32.571,USA,CA,San Diego,10
Ocean Atlantic USA CT,-72.618,41.156,USA,CT,Hartford,10
Ocean Atlantic USA FL,-79.954,25.781,USA,FL,Miami,10
Ocean Gulf of Mexico USA FL,-82.845,27.679,USA,FL,Tampa,10
Ocean Gulf of Mexico USA LA,-90.133,30.131,USA,LA,New Orleans,10
Ocean Atlantic USA MA,-70.587,42.323,USA,MA,Boston,10
Ocean Atlantic USA MD,-76.346,39.061,USA,MD,Baltimore,10
Ocean Atlantic USA ME,-70.035,43.553,USA,ME,Portland,10
Ocean Atlantic USA NC,-77.445,34.083,USA,NC,Wilmington,10
Ocean Pacific USA OR,-124.296,46.044,USA,OR,Portland,10
Ocean Atlantic USA PA,-74.195,39.361,USA,PA,Philadelphia,10
Ocean Atlantic USA RI,-71.361,41.361,USA,RI,Providence,10
Ocean Atlantic USA SC,-79.814,32.512,USA,SC,Charleston,10
Ocean Gulf of Mexico USA TX,-94.514,29.31,USA,TX,Houston,10
Ocean Atlantic USA VA,-75.637,36.886,USA,VA,Virginia Beach,10
Whitefish Lake,-114.3645,48.4325,USA,MT,Whitefish,2
Carson Pegasus Lake,-115.6506,54.2982,CAN,AB,Whitecourt,17
Cascade Ponds,-115.5302,51.2135,CAN,AB,Banff,3
Castle River,-114.3352,49.4021,CAN,AB,Beaver Mines,11
Crowsnest River,-114.6391,49.6331,CAN,AB,Blairmore,3
Elbow River,-114.5785,50.9434,CAN,AB,Bragg Creek,1
Kananaskis River,-115.1163,51.0761,CAN,AB,Kananaskis,1
Peace River near Peace River AB,-117.2898,56.2215,CAN,AB,Peace River,1
Pincher Creek,-113.9582,49.488,CAN,AB,Pincher Creek,1
Waterton River,-113.3509,49.4218,CAN,AB,Cardston,20
Bow River,-113.9319,50.8406,CAN,AB,Calgary,2
Carbondale River,-114.4125,49.4484,CAN,AB,Beaver Mines,2
49 Lake,-110.89087,56.30573,CAN,AB,Cheecham,2.7
A La Peche Lake,-118.82888,53.79717,CAN,AB,Muskeg River,18.3
Abraham Lake,-116.44325,52.21872,CAN,AB,Saskatchewan River Crossing,34.1
Acadia Valley Reservoir,-110.2564,51.11299,CAN,AB,Acadia Valley,5.9
Adamson Lake,-112.92595,53.6145,CAN,AB,Sandy Beach,9.5
Adolphus Lake,-119.11802,53.17065,CAN,AB,Decoigne,59.1
Adrian Lake,-113.14422,53.11171,CAN,AB,Hay Lakes,11.1
African Lake,-110.16972,54.43498,CAN,AB,Cold Lake,1.7
Agar Lake,-110.15798,58.21972,CAN,AB,Jackfish,49.6
Agnes Lake,-114.96827,54.91388,CAN,AB,Swan Hills,35.4
Agnes Lake,-112.52487,55.80785,CAN,AB,Pelican Portage,6.8
Aguhway Lake,-113.62809,56.90461,CAN,AB,Chipewyan Lake,10.2
AH Lake,-112.58048,57.76031,CAN,AB,Bitumount,69.5
Akasu Lake,-111.8294,53.50531,CAN,AB,Lavoy,5.9
Alba Lake,-110.4357,52.77078,CAN,AB,Edgerton,2
Albert Lake,-110.45023,53.1665,CAN,AB,Paradise Valley,18.1
Albright Lake,-119.81998,55.48914,CAN,AB,Demmitt,6.1
Alderson Lake,-113.97513,49.02961,CAN,AB,Waterton Park,5.1
Alexander Lake,-110.48411,59.6246,CAN,AB,Hay Camp,56.4
Algar Lake,-112.29091,56.31474,CAN,AB,Mariana Lake,43.6
Alice Lake,-111.55855,53.23626,CAN,AB,Minburn,15.6
Alix Lake,-113.19711,52.39313,CAN,AB,Alix,1.4
Alkali Lake,-111.76685,53.54807,CAN,AB,Lavoy,12.1
