MapCode, EDRR, CMT, SHP, Species, Genus, Common, Latin
AR,Y,0,0,PEGA,HAR,African rue / harmal,Peganum harmala
AB,N,0,0,AMMO,BRE,American beachgrass,Ammophila breviligulata
YC,N,0,0,RORI,AMP,Amphibious yellow cress,Rorippa amphibian
HB,N,0,0,CREP,TEC,Annual hawksbeard,Crepis tectorum
AS,N,0,0,SONC,OLE,Annual sow thistle,Sonchus oleraceus
BY,N,0,0,GYPS,PAN,Baby's breath,Gypsophila paniculata
BB,N,0,0,CENT,CYA,Bachelor's button,Centaurea cyanus
BA,N,0,0,ECHI,CRU,Barnyard grass,Echinochloa crusgalli
KB,N,0,0,CENT,MAC,Bighead knapweed,Centaurea macrocephala
BP,N,0,0,VINC,MAJ,Bigleaf periwinkle / large periwinkle,Vinca major
BH,Y,0,0,HYOS,NIG,Black henbane,Hyoscyamus niger
BL,N,0,0,CENT,NIG,Black knapweed,Centaurea nigra
RB,N,0,0,ROBI,PSE,Black locust,Robinia pseudoacacia
BC,N,0,0,SILE,VUL,Bladder campion,Silene vulgaris
BW,N,1,4,ECHI,VUL,Blueweed,Echium vulgare
RI,Y,0,0,SCHO,MUC,Bog bulrush / ricefield bulrush,Schoenoplectus mucronatus
BO,N,0,0,FALL,BOH,Bohemian knotweed,Fallopia x bohemicum
ED,Y,0,0,EGER,DEN,Brazilian waterweed,Egeria densa
RA,N,0,0,ROBI,HIS,Bristly locust / rose acacia,Robinia hispida
BK,N,0,0,CENT,JAC,Brown knapweed,Centaurea jacea
BT,N,0,0,CIRS,VUL,Bull thistle,Cirsium vulgare
CB,N,0,0,ANTH,CAU,Bur chervil,Anthriscus caucalis
BU,N,0,0,ARCT,SPP,Burdock species,Arctium spp
BD,N,0,0,BUDD,DAV,Butterfly bush,Buddleja davidii
AM,Y,0,0,ALHA,MAU,Camel thorn,Alhagi maurorum
CT,N,0,0,CIRS,ARV,Canada thistle,Cirsium arvense
CA,N,0,0,CARU,CAR,Caraway,Carum carvi
CG,N,0,0,SOLI,SES,Carpet burweed,Soliva sessilis
DB,N,0,0,BROM,TEC,Cheatgrass / downy brome,Bromus tectorum
LC,N,0,0,PRUN,LAU,Cherry laurel,Prunus laurocerasus
